"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"37",5,"Sam LaPorta",DET,"TE3","24","31","45","40.4","4.3","+6"
"38",5,"Kyren Williams",LAR,"RB10","24","23","77","40.5","11.9","-5"
"39",5,"Rome Odunze",CHI,"WR21","23","33","79","42.7","12.0","+5"
"40",5,"James Cook",BUF,"RB11","25","22","64","43.0","10.1","+9"
"41",5,"Chase Brown",CIN,"RB12","25","20","65","44.9","10.8","+6"
"42",5,"DK Metcalf",PIT,"WR22","27","36","61","45.2","7.1","+13"
"43",5,"Patrick Mahomes II",KC,"QB6","29","26","63","45.6","9.3","+21"
"44",5,"Jordan Addison",MIN,"WR23","23","29","69","46.8","10.9","+15"
"45",5,"TreVeyon Henderson",NE,"RB13","22","29","64","49.0","10.2","-10"
"46",5,"Jaylen Waddle",MIA,"WR24","26","36","73","49.0","8.3","+15"
"47",5,"Josh Jacobs",GB,"RB14","27","30","65","49.6","11.1","-7"
"48",6,"Xavier Worthy",KC,"WR25","22","30","73","50.0","11.2","-6"
"49",6,"Kenneth Walker III",SEA,"RB15","24","30","81","50.9","12.1","-3"
"50",6,"DJ Moore",CHI,"WR26","28","34","76","51.1","11.9","0"
"51",6,"Terry McLaurin",WAS,"WR27","29","39","70","51.7","10.5","-10"
"52",6,"Chris Olave",NO,"WR28","25","35","75","53.8","12.7","+11"
"53",6,"Justin Herbert",LAC,"QB7","27","42","77","54.7","9.8","+37"
"54",6,"Jameson Williams",DET,"WR29","24","36","77","56.1","11.5","+8"
"55",6,"Emeka Egbuka",TB,"WR30","22","32","73","56.3","12.9","-3"
"56",6,"Christian McCaffrey",SF,"RB16","29","29","75","58.3","10.0","-19"
"57",6,"George Kittle",SF,"TE4","31","43","95","58.9","14.4","-3"
"58",6,"T.J. Hockenson",MIN,"TE5","28","46","96","60.0","14.2","+11"
"59",6,"Tyler Warren",IND,"TE6","23","46","74","61.0","8.5","-3"
"60",6,"Kaleb Johnson",PIT,"RB17","22","42","87","63.0","12.2","-7"
"61",6,"Derrick Henry",BAL,"RB18","31","42","87","63.5","11.1","-27"
"62",6,"Colston Loveland",CHI,"TE7","21","45","86","63.9","9.9","+4"
"63",6,"Bo Nix",DEN,"QB8","25","46","85","64.0","12.4","+9"
"64",6,"Drake Maye",NE,"QB9","22","44","99","64.3","15.4","+19"
"65",6,"George Pickens",DAL,"WR31","24","36","94","65.5","13.0","-5"
"66",6,"RJ Harvey",DEN,"RB19","24","35","97","65.7","14.1","-15"
